,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
101,1,1.0,1.9920318725099602,0.011157568627330756,2294,299,0.5,0.002,20.0,500.0,10000.0
102,2,1.0,1.9920318725099602,0.011008947176950355,2297,300,0.5,0.002,20.0,500.0,10000.0
103,3,1.0,1.9840637450199203,0.011310189348539454,2305,301,0.5,0.002,20.0,500.0,10000.0
104,4,1.0,2.896414342629482,0.0178714064993321,2305,309,0.5,0.002,20.0,500.0,10000.0
105,5,1.0,1.9920318725099602,0.011134400683520269,2284,302,0.5,0.002,20.0,500.0,10000.0
106,6,1.0,1.9840637450199203,0.011193848087822797,2305,301,0.5,0.002,20.0,500.0,10000.0
107,7,1.0,2.9880478087649402,0.01872787668007701,2303,302,0.5,0.002,20.0,500.0,10000.0
108,8,1.0,3.0199203187250996,0.02073310597748161,2317,300,0.5,0.002,20.0,500.0,10000.0
109,9,1.0,1.9721115537848606,0.011364925102366554,2306,306,0.5,0.002,20.0,500.0,10000.0
110,0,1.0,1.8964143426294822,0.021092206253576135,2304,19,0.5,0.02,20.0,500.0,10000.0
111,1,1.0,1.8286852589641434,0.02022529714898003,2321,19,0.5,0.02,20.0,500.0,10000.0
112,2,1.0,3.653386454183267,0.03432946529452041,2303,21,0.5,0.02,20.0,500.0,10000.0
113,3,1.0,2.8247011952191237,0.026331757262194423,2310,21,0.5,0.02,20.0,500.0,10000.0
114,4,1.0,4.637450199203188,0.044554972137565985,2315,25,0.5,0.02,20.0,500.0,10000.0
115,5,1.0,1.8605577689243027,0.019574100101093506,2308,21,0.5,0.02,20.0,500.0,10000.0
116,6,1.0,1.9322709163346614,0.018729506864972406,2311,23,0.5,0.02,20.0,500.0,10000.0
117,7,1.0,1.908366533864542,0.022154917668057394,2302,13,0.5,0.02,20.0,500.0,10000.0
118,8,1.0,1.840637450199203,0.018738028709540132,2306,25,0.5,0.02,20.0,500.0,10000.0
119,9,1.0,2.8884462151394423,0.027677966053411017,2306,20,0.5,0.02,20.0,500.0,10000.0
120,0,34.37234850638382,29.764940239043824,1.778583799685724,9943,477,2.0,0.0002,0.0,500.0,10000.0
121,1,43.68173562397262,18.96812749003984,0.6632435351099696,9921,476,2.0,0.0002,0.0,500.0,10000.0
122,2,34.13728291728058,30.470119521912352,1.8717265921048625,9944,476,2.0,0.0002,0.0,500.0,10000.0
123,3,13.721393859740456,43.00796812749004,3.911687180627214,9943,476,2.0,0.0002,0.0,500.0,10000.0
124,4,6.746074571671588,38.9800796812749,3.1628367866099385,9926,477,2.0,0.0002,0.0,500.0,10000.0
125,5,1.0,20.0,0.7323707736708013,9916,476,2.0,0.0002,0.0,500.0,10000.0
126,6,1.0,15.95617529880478,0.4524662482144252,9942,476,2.0,0.0002,0.0,500.0,10000.0
127,7,33.69518915285477,21.00796812749004,0.8352442487927227,9926,476,2.0,0.0002,0.0,500.0,10000.0
128,8,1.0,21.9601593625498,0.9069343146007415,9931,476,2.0,0.0002,0.0,500.0,10000.0
129,9,1.0,17.0,0.5185531903000409,9944,476,2.0,0.0002,0.0,500.0,10000.0
130,0,1.0,3.9681274900398407,0.03255406557470585,9937,294,2.0,0.002,0.0,500.0,10000.0
131,1,1.0,8.936254980079681,0.14046407429256774,9935,299,2.0,0.002,0.0,500.0,10000.0
132,2,1.0,2.9760956175298805,0.02129816905631753,9943,300,2.0,0.002,0.0,500.0,10000.0
133,3,1.0,4.956175298804781,0.045969972268820054,9940,301,2.0,0.002,0.0,500.0,10000.0
134,4,1.0,5.968127490039841,0.06325545321171326,9950,309,2.0,0.002,0.0,500.0,10000.0
135,5,1.0,4.836653386454183,0.051848640882035626,9920,302,2.0,0.002,0.0,500.0,10000.0
136,6,1.0,8.01593625498008,0.10854270811406597,9942,301,2.0,0.002,0.0,500.0,10000.0
137,7,1.0,9.908366533864541,0.16582731127245814,9928,302,2.0,0.002,0.0,500.0,10000.0
138,8,1.0,18.87649402390438,0.6583318685481092,9933,300,2.0,0.002,0.0,500.0,10000.0
139,9,1.0,11.326693227091633,0.23155782965490085,9944,306,2.0,0.002,0.0,500.0,10000.0
140,0,1.0,2.812749003984064,0.028892780510057454,9931,19,2.0,0.02,0.0,500.0,10000.0
141,1,1.0,2.7091633466135456,0.030373040331808463,9904,19,2.0,0.02,0.0,500.0,10000.0
142,2,1.0,7.370517928286852,0.11892589383751338,9940,21,2.0,0.02,0.0,500.0,10000.0
143,3,1.0,4.613545816733068,0.056288107742355924,9941,21,2.0,0.02,0.0,500.0,10000.0
144,4,1.0,6.191235059760956,0.08037918567302883,9940,25,2.0,0.02,0.0,500.0,10000.0
145,5,1.0,2.7888446215139444,0.026885500544671145,9937,21,2.0,0.02,0.0,500.0,10000.0
146,6,1.0,3.7888446215139444,0.038296110401200886,9931,23,2.0,0.02,0.0,500.0,10000.0
147,7,1.0,3.143426294820717,0.03939842845955344,9921,13,2.0,0.02,0.0,500.0,10000.0
148,8,1.0,2.904382470119522,0.032791024563847644,9937,25,2.0,0.02,0.0,500.0,10000.0
149,9,1.0,5.6892430278884465,0.06917643948167677,9946,20,2.0,0.02,0.0,500.0,10000.0
150,0,5.014221937901509,28.191235059760956,1.4471544596999304,7747,477,2.0,0.0002,2.0,500.0,10000.0
151,1,1.0,17.203187250996017,0.5047825361427175,7724,476,2.0,0.0002,2.0,500.0,10000.0
152,2,28.546424238998554,27.219123505976096,1.3197599100199318,7725,476,2.0,0.0002,2.0,500.0,10000.0
153,3,13.83677505606596,41.63745019920319,3.272033573201636,7724,476,2.0,0.0002,2.0,500.0,10000.0
154,4,6.80946699276852,35.896414342629484,2.410756519178375,7725,477,2.0,0.0002,2.0,500.0,10000.0
155,5,1.0,18.55776892430279,0.5919056369451992,7702,476,2.0,0.0002,2.0,500.0,10000.0
156,6,1.0,14.920318725099602,0.373892243099367,7757,476,2.0,0.0002,2.0,500.0,10000.0
157,7,34.05178770064306,21.10756972111554,0.7780894573163756,7733,476,2.0,0.0002,2.0,500.0,10000.0
158,8,1.0,19.330677290836654,0.6540096154688273,7743,476,2.0,0.0002,2.0,500.0,10000.0
159,9,1.0,16.03187250996016,0.43987485500327583,7705,476,2.0,0.0002,2.0,500.0,10000.0
160,0,1.0,3.948207171314741,0.03222084833215814,7746,294,2.0,0.002,2.0,500.0,10000.0
161,1,1.0,8.884462151394422,0.1361391829388778,7713,299,2.0,0.002,2.0,500.0,10000.0
162,2,1.0,2.9800796812749004,0.021328967754903207,7723,300,2.0,0.002,2.0,500.0,10000.0
163,3,1.0,4.900398406374502,0.045240432121334676,7720,301,2.0,0.002,2.0,500.0,10000.0
164,4,1.0,5.972111553784861,0.062347774752762,7728,309,2.0,0.002,2.0,500.0,10000.0
165,5,1.0,4.800796812749004,0.050971384180418584,7707,302,2.0,0.002,2.0,500.0,10000.0
166,6,1.0,7.9282868525896415,0.10558521778377578,7773,301,2.0,0.002,2.0,500.0,10000.0
167,7,1.0,9.745019920318725,0.15730419812427102,7696,302,2.0,0.002,2.0,500.0,10000.0
168,8,1.0,17.366533864541832,0.5266541930017262,7742,300,2.0,0.002,2.0,500.0,10000.0
169,9,1.0,11.05179282868526,0.21456292620261333,7711,306,2.0,0.002,2.0,500.0,10000.0
170,0,1.0,2.7768924302788847,0.028507183314031393,7747,19,2.0,0.02,2.0,500.0,10000.0
171,1,1.0,2.7211155378486054,0.030216297783100227,7728,19,2.0,0.02,2.0,500.0,10000.0
172,2,1.0,7.414342629482071,0.11686861077585901,7731,21,2.0,0.02,2.0,500.0,10000.0
173,3,1.0,4.685258964143427,0.05701371470369598,7705,21,2.0,0.02,2.0,500.0,10000.0
174,4,1.0,6.163346613545817,0.07842652285038743,7721,25,2.0,0.02,2.0,500.0,10000.0
175,5,1.0,2.804780876494024,0.027218431509950326,7729,21,2.0,0.02,2.0,500.0,10000.0
176,6,1.0,3.7968127490039842,0.038402716782706896,7758,23,2.0,0.02,2.0,500.0,10000.0
177,7,1.0,3.2071713147410357,0.04054646700586584,7726,13,2.0,0.02,2.0,500.0,10000.0
178,8,1.0,2.5139442231075697,0.028429684140454856,7744,25,2.0,0.02,2.0,500.0,10000.0
179,9,1.0,5.721115537848606,0.06810267807070614,7703,20,2.0,0.02,2.0,500.0,10000.0
180,0,3.0713385199571794,19.334661354581673,0.5798505109516319,5387,477,2.0,0.0002,5.0,500.0,10000.0
181,1,1.0,13.848605577689243,0.29928451855763444,5373,476,2.0,0.0002,5.0,500.0,10000.0
182,2,3.086701926351271,20.852589641434264,0.6879464177517988,5355,476,2.0,0.0002,5.0,500.0,10000.0
183,3,13.815134060521796,28.50597609561753,1.2746122112501126,5369,476,2.0,0.0002,5.0,500.0,10000.0
184,4,2.1851312665247775,27.330677290836654,1.1490136565520455,5371,477,2.0,0.0002,5.0,500.0,10000.0
